000100ARABELA DINIZ ROCHA GASPAR              F10001000100010001000
000200ARABELA MATOS ALBANO                    F04300700060008001000
000300BOANERGES BEZERRA DA CUNHA              M10000900080007001000
000400AR OSVALDO ANDRADE DE OLIVEIRA          M10000900080007001000
000500ARABIANA MAYANE COSTA DO NASCIMENTO     F08000600070009000800
000600ARACAGY MONTEIRO DE LIMA                F07500600090009000900
000700ARACELI DA SILVA BAIRRADA               F06500700080006000600
000800ARACELI HARUMI SUZUKI CALIXTO           F08000900100006000700
000900ARACELI DE OLIVEIRA PORTO               F04500700060008001000
001000BOANERGES FERREIRA                      M06800700080006000600
001100ARACELIA PEREIRA DE SOUSA               F07800600090009000900
001200BOADYR VELOSO                           M06900700080006000600
001300BOANERGES AGUIAR CASTRO                 M08200900100006000700
001400BOANERGES BEZERRA COSTA FILHO           M04500700060008001000
001500ARACELIA DE MELO ROSA MENDES            F08500600070009000800
001600BOANERGES CASTELLO BRANCO               M08500600070009000800
001700BOANERGES ELY STOPATTO                  M07600600090009000900
001800BOANERGES FERREIRA DA SILVA             M10000900080007001000
001900BOANERGES LEAL E SILVA                  M08300600070009000800
002000ARACELIA PRZYBYSZEWSKI                  F10000900080007001000
002100BOANERGES LEAL E SILVA JUNIOR           M07600600090009000900
002200BOANERGES DE MENEZES CALDAS             M06700700080006000600
002300BOANERGES DE OLIVEIRA                   M04600700060008001000
002400DEA DE MORAES E CASTRO SANTOS           F10000900080007001000
002500DEA ALVES DA SILVA VIEIRA               F08400600070009000800
002600DEA BRINGEL DE ARAUJO FILHA             F07500600090009000900
002700DEA LUCIA ALVES BARRETO                 F07500600090009000900
002800DEA COSTA BARBOSA                       F06800700080006000600
002900DEA DAWES DO CABO                       F10000900080007001000
003000DEA LEMOS DE ALMEIDA                    F08200600070009000800
003100DEA LUCIA CHAGAS VIEIRA                 F06000700080006000600
003200DEA MACHADO RODOLF                      F07100600090009000900
003300DEA MARIA FARIA BASTOS                  F06500700080006000600
003400ROANA YUMI ARAI                         F10000900080007001000
003500DEA MARIA COSTA CONTENTE                F10000900080007001000
003600DEA MARIA CRUZ MIRANDA                  F08000600070009000800
003700ROALD NUNES AMARAL GURGEL               M07000600090009000900
003800ROALDERSON ISHIKAWA ROCHA               M06000700080006000600
003900ROALDO MOUSQUER LOUREIRO                M08000600070009000800
004000ROALI REMI ROMANZINI JUNIOR             M07000600090009000900
004100ROBE DE ASSIS COSTA                     M06000500070008000600
004200SUAMI VITOR DA SILVA MOTA               F07000600090009000900
004300SUAMY DA ROCHA ALENCAR                  F08000900100006000700
004400ROAN LOURENCO DO CARMO                  M08000600070009000800
004500ROBEILTON ANDRADE LIMA                  M10000900080007001000
004600ROBELIA MERCEDES DELPRATO               F08000600070009000800
004700ROBELINO DA SILVA CORREA                M06000700080006000600
004800ROBELIO DOS SANTOS SILVA                M08000900100006000700
004900SUDERLANDIO DANTAS                      M07000600090009000900
005000SUAHIL MARTINS DE OLIVEIRA              F04000700060008001000
005100SU KEN TSONG                            F10000900080007001000
005200SUAIL JOSE VIEIRA                       M08000600070009000800
005300SUANNY MAIZA BEZERRA FURTADO            F04000700060008001000
005400SUANNY KELLY DAVILA LIMA                F06000700080006000600
005500ROBEIRO COELHO DA SILVA                 M07000600090009000900
005600SUAREZ LAZLO SPINDOLA                   M08000900100006000700
005700SUDAMAR CERQUEIRA ALBINO                M04000700060008001000
005800SUDARIO ANDRADE PAZ                     M10000900080007001000
005900SUDERLEY TEODORO DANTAS                 M08000600070009000800
